,UF,Tem Celular,Tem Rádio,Tem Televisão em Cores,RM domiciliar per capita,Regiao
130,11,Sim,Sim,Sim,750.0,Norte
131,11,Sim,Não,Sim,788.0,Norte
132,11,Sim,Não,Sim,890.0,Norte
133,11,Sim,Sim,Sim,821.0,Norte
135,11,Sim,Não,Sim,241.0,Norte
136,11,Sim,Sim,Sim,1600.0,Norte
140,11,Sim,Não,Sim,433.0,Norte
141,11,Sim,Não,Sim,440.0,Norte
142,11,Sim,Não,Não,833.0,Norte
143,11,Sim,Sim,Sim,692.0,Norte
144,11,Sim,Não,Sim,1420.0,Norte
145,11,Sim,Não,Sim,1300.0,Norte
146,11,Sim,Não,Sim,800.0,Norte
147,11,Sim,Não,Sim,70.0,Norte
148,11,Não,Não,Sim,390.0,Norte
149,11,Sim,Não,Sim,766.0,Norte
150,11,Sim,Não,Sim,0.0,Norte
151,11,Sim,Sim,Sim,162.0,Norte
152,11,Sim,Não,Não,560.0,Norte
153,11,Sim,Sim,Sim,787.0,Norte
154,11,Sim,Não,Sim,381.0,Norte
155,11,Sim,Não,Sim,992.0,Norte
156,11,Sim,Não,Sim,570.0,Norte
157,11,Sim,Não,Sim,395.0,Norte
158,11,Sim,Não,Sim,1010.0,Norte
159,11,Sim,Sim,Sim,1125.0,Norte
160,11,Não,Não,Sim,320.0,Norte
161,11,Sim,Não,Sim,900.0,Norte
162,11,Sim,Sim,Sim,187.0,Norte
163,11,Sim,Não,Sim,1200.0,Norte
164,11,Sim,Não,Sim,312.0,Norte
165,11,Sim,Sim,Sim,300.0,Norte
166,11,Sim,Não,Sim,199.0,Norte
167,11,Não,Não,Sim,790.0,Norte
168,11,Sim,Sim,Sim,1095.0,Norte
170,11,Sim,Não,Sim,222.0,Norte
171,11,Sim,Sim,Não,550.0,Norte
172,11,Sim,Não,Sim,1140.0,Norte
174,11,Sim,Sim,Sim,831.0,Norte
175,11,Sim,Não,Sim,833.0,Norte
176,11,Sim,Não,Sim,120.0,Norte
177,11,Sim,Sim,Sim,1925.0,Norte
178,11,Sim,Sim,Sim,1182.0,Norte
179,11,Sim,Não,Sim,650.0,Norte
180,11,Sim,Sim,Sim,497.0,Norte
181,11,Sim,Não,Sim,1050.0,Norte
182,11,Sim,Sim,Sim,697.0,Norte
184,11,Sim,Não,Sim,640.0,Norte
185,11,Sim,Não,Sim,278.0,Norte
186,11,Sim,Não,Sim,425.0,Norte
187,11,Sim,Sim,Sim,528.0,Norte
188,11,Não,Não,Sim,788.0,Norte
189,11,Não,Não,Sim,779.0,Norte
190,11,Sim,Sim,Sim,900.0,Norte
191,11,Sim,Sim,Sim,2288.0,Norte
192,11,Sim,Sim,Sim,6000.0,Norte
193,11,Sim,Sim,Sim,1900.0,Norte
194,11,Sim,Não,Sim,1000.0,Norte
195,11,Sim,Sim,Sim,1522.0,Norte
196,11,Sim,Sim,Sim,375.0,Norte
197,11,Sim,Sim,Sim,913.0,Norte
198,11,Sim,Sim,Sim,297.0,Norte
199,11,Sim,Sim,Sim,372.0,Norte
200,11,Sim,Não,Sim,750.0,Norte
201,11,Sim,Sim,Sim,894.0,Norte
203,11,Sim,Sim,Sim,296.0,Norte
204,11,Sim,Sim,Sim,892.0,Norte
205,11,Sim,Sim,Sim,333.0,Norte
206,11,Sim,Não,Sim,547.0,Norte
207,11,Sim,Não,Sim,1394.0,Norte
208,11,Sim,Sim,Sim,1829.0,Norte
209,11,Sim,Sim,Sim,988.0,Norte
210,11,Sim,Sim,Sim,300.0,Norte
211,11,Sim,Não,Sim,1750.0,Norte
212,11,Sim,Sim,Sim,116.0,Norte
213,11,Sim,Sim,Sim,800.0,Norte
218,11,Sim,Sim,Sim,900.0,Norte
219,11,Sim,Sim,Sim,2576.0,Norte
220,11,Sim,Não,Sim,394.0,Norte
222,11,Sim,Sim,Sim,1000.0,Norte
223,11,Sim,Sim,Sim,1788.0,Norte
227,11,Sim,Sim,Sim,1894.0,Norte
230,11,Sim,Sim,Sim,4317.0,Norte
231,11,Sim,Sim,Sim,733.0,Norte
233,11,Sim,Não,Sim,3000.0,Norte
235,11,Sim,Sim,Sim,788.0,Norte
238,11,Sim,Não,Sim,1600.0,Norte
241,11,Sim,Sim,Sim,1230.0,Norte
243,11,Sim,Sim,Sim,578.0,Norte
244,11,Sim,Sim,Sim,3133.0,Norte
245,11,Sim,Não,Sim,2000.0,Norte
246,11,Sim,Sim,Sim,875.0,Norte
248,11,Sim,Não,Sim,850.0,Norte
250,11,Sim,Sim,Sim,1125.0,Norte
251,11,Sim,Sim,Sim,1150.0,Norte
252,11,Sim,Sim,Não,768.0,Norte
254,11,Sim,Sim,Sim,780.0,Norte
258,11,Sim,Não,Sim,1080.0,Norte
261,11,Sim,Não,Sim,900.0,Norte
263,11,Sim,Não,Não,788.0,Norte
265,11,Sim,Sim,Sim,876.0,Norte
267,11,Sim,Sim,Sim,1350.0,Norte
269,11,Sim,Sim,Sim,494.0,Norte
270,11,Sim,Sim,Sim,733.0,Norte
271,11,Sim,Não,Sim,750.0,Norte
272,11,Sim,Não,Sim,900.0,Norte
273,11,Sim,Não,Sim,808.0,Norte
274,11,Sim,Não,Não,750.0,Norte
275,11,Sim,Não,Sim,1575.0,Norte
276,11,Não,Não,Não,900.0,Norte
278,11,Sim,Sim,Sim,2000.0,Norte
279,11,Sim,Sim,Sim,950.0,Norte
281,11,Sim,Sim,Sim,4000.0,Norte
282,11,Sim,Sim,Sim,780.0,Norte
283,11,Sim,Sim,Sim,1470.0,Norte
284,11,Sim,Sim,Sim,788.0,Norte
285,11,Sim,Sim,Sim,2200.0,Norte
286,11,Sim,Não,Sim,907.0,Norte
287,11,Sim,Sim,Sim,1550.0,Norte
288,11,Sim,Sim,Sim,1000.0,Norte
290,11,Não,Sim,Sim,884.0,Norte
291,11,Sim,Sim,Sim,950.0,Norte
293,11,Sim,Não,Não,780.0,Norte
294,11,Sim,Sim,Sim,759.0,Norte
295,11,Sim,Sim,Sim,309.0,Norte
296,11,Sim,Não,Sim,95.0,Norte
298,11,Sim,Sim,Sim,1700.0,Norte
299,11,Sim,Sim,Sim,500.0,Norte
300,11,Sim,Sim,Sim,650.0,Norte
301,11,Sim,Sim,Sim,197.0,Norte
302,11,Sim,Sim,Sim,396.0,Norte
303,11,Sim,Sim,Sim,333.0,Norte
304,11,Sim,Não,Sim,3000.0,Norte
305,11,Sim,Sim,Sim,375.0,Norte
306,11,Sim,Sim,Sim,780.0,Norte
307,11,Sim,Sim,Não,644.0,Norte
308,11,Sim,Sim,Sim,944.0,Norte
309,11,Sim,Sim,Sim,1788.0,Norte
310,11,Sim,Sim,Sim,600.0,Norte
311,11,Sim,Não,Sim,561.0,Norte
312,11,Sim,Sim,Sim,220.0,Norte
313,11,Sim,Não,Sim,375.0,Norte
315,11,Não,Sim,Sim,1200.0,Norte
316,11,Sim,Não,Sim,1440.0,Norte
318,11,Sim,Sim,Sim,633.0,Norte
319,11,Sim,Não,Sim,2150.0,Norte
320,11,Sim,Sim,Sim,1800.0,Norte
321,11,Não,Sim,Não,0.0,Norte
322,11,Sim,Não,Sim,900.0,Norte
324,11,Sim,Sim,Sim,677.0,Norte
325,11,Sim,Não,Sim,274.0,Norte
326,11,Sim,Sim,Sim,744.0,Norte
327,11,Sim,Não,Sim,4086.0,Norte
328,11,Sim,Sim,Sim,613.0,Norte
330,11,Sim,Sim,Sim,683.0,Norte
331,11,Sim,Não,Sim,13666.0,Norte
334,11,Sim,Não,Sim,1950.0,Norte
336,11,Sim,Sim,Sim,400.0,Norte
337,11,Sim,Não,Sim,1500.0,Norte
338,11,Sim,Não,Sim,394.0,Norte
339,11,Sim,Sim,Sim,788.0,Norte
342,11,Sim,Não,Sim,2197.0,Norte
343,11,Sim,Sim,Sim,800.0,Norte
344,11,Sim,Sim,Sim,829.0,Norte
346,11,Sim,Sim,Sim,133.0,Norte
347,11,Sim,Não,Sim,788.0,Norte
348,11,Sim,Sim,Sim,331.0,Norte
349,11,Sim,Sim,Sim,394.0,Norte
350,11,Sim,Sim,Sim,400.0,Norte
351,11,Sim,Não,Sim,2110.0,Norte
352,11,Sim,Sim,Sim,404.0,Norte
353,11,Não,Sim,Sim,788.0,Norte
354,11,Sim,Sim,Sim,1050.0,Norte
355,11,Sim,Não,Sim,1650.0,Norte
356,11,Sim,Não,Sim,3125.0,Norte
357,11,Sim,Sim,Sim,922.0,Norte
358,11,Sim,Não,Sim,1666.0,Norte
359,11,Sim,Sim,Sim,661.0,Norte
362,11,Sim,Não,Sim,1288.0,Norte
364,11,Sim,Não,Não,996.0,Norte
365,11,Sim,Sim,Sim,766.0,Norte
370,11,Sim,Sim,Sim,788.0,Norte
372,11,Sim,Não,Não,788.0,Norte
377,11,Não,Sim,Sim,210.0,Norte
379,11,Não,Sim,Sim,142.0,Norte
380,11,Não,Não,Sim,801.0,Norte
381,11,Sim,Não,Não,1576.0,Norte
382,11,Sim,Sim,Sim,500.0,Norte
383,11,Sim,Sim,Sim,259.0,Norte
385,11,Sim,Sim,Sim,90.0,Norte
386,11,Sim,Não,Sim,300.0,Norte
387,11,Não,Sim,Sim,450.0,Norte
388,11,Sim,Não,Sim,688.0,Norte
389,11,Sim,Não,Não,265.0,Norte
390,11,Não,Não,Sim,1000.0,Norte
393,11,Sim,Não,Sim,2096.0,Norte
397,11,Sim,Não,Sim,5000.0,Norte
401,11,Sim,Não,Sim,532.0,Norte
402,11,Sim,Sim,Sim,2075.0,Norte
403,11,Sim,Não,Sim,2700.0,Norte
404,11,Sim,Não,Sim,1500.0,Norte
405,11,Sim,Não,Não,850.0,Norte
406,11,Sim,Sim,Sim,853.0,Norte
407,11,Sim,Não,Sim,1737.0,Norte
408,11,Sim,Sim,Sim,1538.0,Norte
409,11,Sim,Sim,Sim,788.0,Norte
410,11,Sim,Não,Sim,966.0,Norte
411,11,Não,Não,Sim,788.0,Norte
412,11,Sim,Sim,Sim,1250.0,Norte
413,11,Sim,Não,Sim,400.0,Norte
414,11,Sim,Sim,Sim,1100.0,Norte
415,11,Sim,Sim,Sim,594.0,Norte
416,11,Sim,Sim,Sim,788.0,Norte
420,11,Sim,Sim,Sim,600.0,Norte
421,11,Sim,Sim,Sim,1576.0,Norte
422,11,Sim,Sim,Sim,4666.0,Norte
423,11,Sim,Não,Sim,1100.0,Norte
424,11,Sim,Sim,Sim,258.0,Norte
427,11,Sim,Sim,Sim,141.0,Norte
428,11,Sim,Sim,Sim,2466.0,Norte
430,11,Sim,Sim,Sim,186.0,Norte
431,11,Sim,Sim,Sim,545.0,Norte
432,11,Sim,Não,Sim,1288.0,Norte
433,11,Sim,Sim,Sim,1366.0,Norte
434,11,Sim,Sim,Sim,1500.0,Norte
435,11,Sim,Sim,Sim,1175.0,Norte
436,11,Sim,Sim,Sim,1070.0,Norte
437,11,Sim,Sim,Sim,1788.0,Norte
438,11,Sim,Sim,Sim,5394.0,Norte
440,11,Sim,Sim,Sim,900.0,Norte
441,11,Sim,Não,Sim,575.0,Norte
442,11,Sim,Sim,Sim,1596.0,Norte
443,11,Sim,Sim,Sim,933.0,Norte
444,11,Sim,Sim,Sim,1075.0,Norte
445,11,Sim,Não,Sim,325.0,Norte
446,11,Sim,Sim,Sim,1233.0,Norte
447,11,Sim,Não,Sim,1075.0,Norte
448,11,Sim,Não,Sim,517.0,Norte
450,11,Sim,Não,Sim,46.0,Norte
451,11,Sim,Sim,Sim,665.0,Norte
453,11,Sim,Não,Sim,583.0,Norte
455,11,Sim,Sim,Sim,1500.0,Norte
456,11,Sim,Não,Sim,1144.0,Norte
457,11,Sim,Sim,Sim,494.0,Norte
458,11,Sim,Sim,Sim,833.0,Norte
459,11,Sim,Não,Sim,1088.0,Norte
460,11,Sim,Sim,Sim,841.0,Norte
461,11,Sim,Sim,Sim,1182.0,Norte
462,11,Sim,Não,Sim,455.0,Norte
463,11,Sim,Não,Sim,2500.0,Norte
464,11,Sim,Sim,Sim,394.0,Norte
465,11,Não,Não,Sim,894.0,Norte
466,11,Sim,Sim,Sim,396.0,Norte
467,11,Sim,Sim,Sim,340.0,Norte
469,11,Sim,Sim,Sim,551.0,Norte
470,11,Sim,Não,Não,1920.0,Norte
471,11,Sim,Sim,Sim,500.0,Norte
472,11,Sim,Sim,Sim,788.0,Norte
473,11,Sim,Não,Sim,412.0,Norte
474,11,Sim,Não,Sim,894.0,Norte
475,11,Sim,Sim,Sim,1233.0,Norte
476,11,Sim,Sim,Sim,591.0,Norte
477,11,Sim,Não,Sim,394.0,Norte
478,11,Sim,Sim,Sim,1994.0,Norte
479,11,Sim,Sim,Sim,553.0,Norte
481,11,Sim,Sim,Sim,327.0,Norte
482,11,Sim,Sim,Sim,725.0,Norte
483,11,Sim,Não,Sim,788.0,Norte
484,11,Sim,Não,Sim,1167.0,Norte
485,11,Sim,Sim,Sim,1194.0,Norte
486,11,Sim,Não,Não,245.0,Norte
487,11,Sim,Sim,Sim,679.0,Norte
488,11,Sim,Não,Sim,755.0,Norte
489,11,Sim,Não,Sim,476.0,Norte
490,11,Sim,Não,Sim,2364.0,Norte
491,11,Sim,Sim,Sim,1344.0,Norte
492,11,Sim,Não,Sim,966.0,Norte
494,11,Sim,Sim,Sim,578.0,Norte
495,11,Não,Sim,Não,2219.0,Norte
496,11,Não,Sim,Sim,1213.0,Norte
497,11,Sim,Não,Sim,1012.0,Norte
502,11,Não,Sim,Sim,866.0,Norte
503,11,Sim,Sim,Sim,678.0,Norte
506,11,Sim,Sim,Sim,800.0,Norte
507,11,Sim,Sim,Sim,233.0,Norte
508,11,Não,Sim,Sim,186.0,Norte
509,11,Sim,Sim,Sim,262.0,Norte
511,11,Sim,Sim,Sim,597.0,Norte
512,11,Não,Sim,Sim,1400.0,Norte
513,11,Sim,Sim,Sim,1360.0,Norte
514,11,Sim,Não,Sim,788.0,Norte
515,11,Sim,Sim,Sim,788.0,Norte
516,11,Não,Sim,Sim,205.0,Norte
517,11,Sim,Sim,Sim,788.0,Norte
518,11,Não,Não,Sim,254.0,Norte
519,11,Sim,Sim,Sim,525.0,Norte
520,11,Não,Sim,Sim,454.0,Norte
521,11,Sim,Sim,Sim,788.0,Norte
522,11,Sim,Sim,Sim,529.0,Norte
523,11,Sim,Não,Não,351.0,Norte
525,11,Sim,Sim,Sim,325.0,Norte
526,11,Sim,Não,Sim,394.0,Norte
527,11,Sim,Não,Sim,145.0,Norte
528,11,Sim,Sim,Sim,925.0,Norte
529,11,Sim,Sim,Sim,1500.0,Norte
530,11,Sim,Sim,Sim,221.0,Norte
531,11,Sim,Sim,Sim,80.0,Norte
532,11,Sim,Não,Sim,296.0,Norte
533,11,Sim,Sim,Sim,226.0,Norte
534,11,Sim,Sim,Sim,833.0,Norte
535,11,Sim,Sim,Sim,406.0,Norte
536,11,Sim,Sim,Sim,762.0,Norte
537,11,Sim,Sim,Sim,316.0,Norte
538,11,Sim,Sim,Sim,685.0,Norte
539,11,Sim,Não,Sim,1500.0,Norte
541,11,Sim,Sim,Sim,535.0,Norte
543,11,Sim,Sim,Sim,507.0,Norte
546,11,Sim,Sim,Sim,411.0,Norte
547,11,Sim,Sim,Não,250.0,Norte
549,11,Sim,Sim,Sim,1250.0,Norte
550,11,Sim,Sim,Sim,770.0,Norte
551,11,Sim,Não,Sim,529.0,Norte
552,11,Sim,Sim,Não,700.0,Norte
553,11,Sim,Sim,Sim,300.0,Norte
554,11,Sim,Sim,Sim,788.0,Norte
555,11,Sim,Sim,Sim,197.0,Norte
556,11,Sim,Sim,Sim,525.0,Norte
557,11,Sim,Sim,Sim,400.0,Norte
558,11,Sim,Não,Não,112.0,Norte
559,11,Não,Sim,Sim,788.0,Norte
560,11,Sim,Não,Sim,536.0,Norte
561,11,Sim,Sim,Sim,2333.0,Norte
562,11,Sim,Sim,Sim,600.0,Norte
563,11,Sim,Não,Sim,476.0,Norte
565,11,Sim,Sim,Sim,163.0,Norte
568,11,Sim,Não,Sim,388.0,Norte
569,11,Não,Sim,Sim,394.0,Norte
570,11,Sim,Sim,Sim,1200.0,Norte
571,11,Sim,Não,Sim,666.0,Norte
572,11,Sim,Sim,Sim,217.0,Norte
573,11,Sim,Sim,Sim,1600.0,Norte
574,11,Sim,Não,Sim,333.0,Norte
575,11,Sim,Sim,Sim,796.0,Norte
576,11,Sim,Sim,Sim,1538.0,Norte
577,11,Não,Não,Não,1188.0,Norte
578,11,Sim,Sim,Sim,264.0,Norte
582,11,Sim,Não,Sim,1988.0,Norte
584,11,Sim,Sim,Sim,788.0,Norte
585,11,Não,Sim,Sim,394.0,Norte
586,11,Sim,Sim,Sim,360.0,Norte
587,11,Sim,Sim,Sim,800.0,Norte
588,11,Sim,Sim,Sim,770.0,Norte
589,11,Sim,Sim,Sim,788.0,Norte
590,11,Sim,Não,Sim,366.0,Norte
591,11,Sim,Não,Sim,2500.0,Norte
592,11,Sim,Não,Sim,1734.0,Norte
595,11,Sim,Não,Sim,983.0,Norte
597,11,Sim,Sim,Sim,1560.0,Norte
599,11,Sim,Sim,Sim,1894.0,Norte
601,11,Sim,Sim,Sim,1850.0,Norte
602,11,Sim,Sim,Sim,2125.0,Norte
604,11,Sim,Não,Sim,1125.0,Norte
605,11,Não,Sim,Não,1576.0,Norte
606,11,Sim,Não,Sim,800.0,Norte
607,11,Sim,Sim,Sim,794.0,Norte
608,11,Sim,Sim,Sim,938.0,Norte
609,11,Sim,Não,Sim,1175.0,Norte
610,11,Sim,Sim,Sim,320.0,Norte
611,11,Sim,Não,Sim,1338.0,Norte
612,11,Sim,Não,Sim,200.0,Norte
613,11,Sim,Sim,Sim,916.0,Norte
614,11,Sim,Não,Sim,373.0,Norte
615,11,Sim,Sim,Sim,497.0,Norte
616,11,Sim,Sim,Sim,340.0,Norte
617,11,Sim,Sim,Sim,788.0,Norte
618,11,Sim,Sim,Sim,504.0,Norte
619,11,Sim,Não,Sim,701.0,Norte
620,11,Sim,Não,Sim,880.0,Norte
621,11,Sim,Sim,Sim,166.0,Norte
622,11,Sim,Sim,Sim,1500.0,Norte
623,11,Sim,Sim,Não,207.0,Norte
624,11,Sim,Sim,Sim,788.0,Norte
625,11,Sim,Não,Sim,1300.0,Norte
626,11,Sim,Sim,Sim,821.0,Norte
627,11,Sim,Não,Sim,1200.0,Norte
628,11,Sim,Sim,Sim,500.0,Norte
629,11,Sim,Sim,Sim,412.0,Norte
630,11,Sim,Não,Sim,1566.0,Norte
631,11,Sim,Sim,Sim,400.0,Norte
632,11,Sim,Não,Sim,311.0,Norte
633,11,Sim,Não,Sim,1500.0,Norte
635,11,Sim,Não,Sim,883.0,Norte
636,11,Sim,Não,Sim,625.0,Norte
637,11,Sim,Não,Sim,846.0,Norte
638,11,Sim,Sim,Sim,500.0,Norte
639,11,Sim,Não,Sim,1433.0,Norte
640,11,Sim,Sim,Sim,250.0,Norte
641,11,Sim,Não,Sim,729.0,Norte
642,11,Não,Não,Não,1576.0,Norte
643,11,Sim,Não,Sim,1394.0,Norte
644,11,Sim,Sim,Sim,1400.0,Norte
647,11,Sim,Sim,Sim,1200.0,Norte
648,11,Sim,Não,Sim,950.0,Norte
649,11,Sim,Sim,Sim,433.0,Norte
650,11,Sim,Sim,Sim,788.0,Norte
651,11,Sim,Sim,Sim,725.0,Norte
652,11,Sim,Sim,Sim,186.0,Norte
655,11,Sim,Sim,Sim,1576.0,Norte
656,11,Sim,Sim,Sim,525.0,Norte
657,11,Não,Sim,Não,894.0,Norte
658,11,Não,Sim,Não,788.0,Norte
661,11,Sim,Sim,Sim,216.0,Norte
662,11,Não,Sim,Sim,525.0,Norte
663,11,Sim,Sim,Sim,400.0,Norte
665,11,Não,Sim,Sim,286.0,Norte
666,11,Sim,Sim,Sim,704.0,Norte
668,11,Sim,Sim,Não,788.0,Norte
671,11,Sim,Não,Sim,512.0,Norte
673,11,Sim,Sim,Sim,2600.0,Norte
674,11,Sim,Sim,Sim,300.0,Norte
675,11,Sim,Não,Sim,788.0,Norte
676,11,Sim,Sim,Sim,388.0,Norte
677,11,Sim,Não,Sim,500.0,Norte
678,11,Sim,Sim,Sim,788.0,Norte
679,11,Sim,Sim,Sim,3600.0,Norte
680,11,Sim,Sim,Sim,239.0,Norte
681,11,Não,Não,Não,450.0,Norte
682,11,Sim,Não,Sim,2800.0,Norte
683,11,Sim,Sim,Não,788.0,Norte
684,11,Sim,Sim,Sim,197.0,Norte
685,11,Não,Sim,Sim,465.0,Norte
686,11,Sim,Não,Sim,1200.0,Norte
687,11,Sim,Sim,Sim,497.0,Norte
689,11,Sim,Não,Sim,0.0,Norte
690,11,Sim,Sim,Sim,1150.0,Norte
691,11,Sim,Sim,Sim,525.0,Norte
692,11,Sim,Sim,Sim,1650.0,Norte
694,11,Sim,Não,Sim,1550.0,Norte
695,11,Sim,Não,Sim,1400.0,Norte
697,11,Sim,Não,Sim,210.0,Norte
701,11,Sim,Sim,Sim,600.0,Norte
702,11,Sim,Não,Sim,500.0,Norte
704,11,Sim,Não,Sim,1375.0,Norte
705,11,Sim,Não,Sim,800.0,Norte
706,11,Sim,Não,Sim,1175.0,Norte
707,11,Sim,Não,Sim,1475.0,Norte
709,11,Sim,Não,Sim,1000.0,Norte
710,11,Sim,Não,Sim,1300.0,Norte
711,11,Sim,Não,Sim,1000.0,Norte
712,11,Sim,Não,Sim,7800.0,Norte
716,11,Sim,Não,Sim,860.0,Norte
717,11,Sim,Sim,Sim,772.0,Norte
718,11,Sim,Não,Sim,1100.0,Norte
719,11,Sim,Não,Sim,3333.0,Norte
720,11,Não,Não,Sim,494.0,Norte
721,11,Sim,Sim,Sim,0.0,Norte
722,11,Sim,Sim,Sim,600.0,Norte
723,11,Sim,Não,Sim,975.0,Norte
724,11,Não,Não,Sim,1900.0,Norte
725,11,Sim,Sim,Sim,4650.0,Norte
727,11,Sim,Sim,Sim,7980.0,Norte
728,11,Sim,Não,Sim,311.0,Norte
729,11,Sim,Sim,Sim,788.0,Norte
730,11,Sim,Não,Sim,228.0,Norte
731,11,Sim,Não,Sim,400.0,Norte
733,11,Sim,Não,Sim,233.0,Norte
734,11,Sim,Não,Sim,1300.0,Norte
739,11,Sim,Não,Sim,500.0,Norte
740,11,Sim,Não,Sim,300.0,Norte
741,11,Sim,Não,Sim,2125.0,Norte
742,11,Sim,Não,Sim,913.0,Norte
743,11,Sim,Não,Sim,262.0,Norte
745,11,Sim,Não,Sim,451.0,Norte
746,11,Sim,Sim,Sim,600.0,Norte
747,11,Sim,Não,Sim,469.0,Norte
750,11,Sim,Não,Sim,2066.0,Norte
752,11,Sim,Sim,Sim,929.0,Norte
753,11,Sim,Não,Sim,434.0,Norte
754,11,Sim,Sim,Sim,4028.0,Norte
755,11,Sim,Sim,Sim,3500.0,Norte
759,11,Sim,Não,Sim,1000.0,Norte
